Syrian Arab Republic,Idleb,Ariha,Ariha,Bazabur,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Orm Eljoz,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Abkally,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Bab Ellah,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Thaheriya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Sarja,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Banin,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Shinan,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Berjhab,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Ebneh,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Ariha,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Maarzaf,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Majdaliya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Mseibin,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Kafraziba,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Kafrlata,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Nahleh,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Maarbalit,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Nahliya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Moataf,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Korin,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Kafr Shalaya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ariha,Motaram,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Abdita,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Ablin,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Deir Sunbul,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Rami,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Ehsem,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Balshun,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Bsames,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Mozra,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Ein Laruz,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Maghara,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Arnaba,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Balyun,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Joseph,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Bara,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Farkya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Kafr Haya,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Marata,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Marayan,,,,,
Syrian Arab Republic,Idleb,Ariha,Ehsem,Kansafra,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Shagurit,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Ora Qabli - Edwan,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Kniseh,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Bales,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Sararif,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Northern Laj,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Matleh Ariha,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Hmeimat,,,,,
Syrian Arab Republic,Idleb,Ariha,Mhambal,Jadraya,,,,,
