China,Guangxi Province,Chongzuo City,,
China,Guangxi Province,Laibin City,,
China,Sichuan Province,Ya'an City,Tianquan county,
China,Sichuan Province,Ya'an City,Lushan County ,
China,Sichuan Province,Ya'an City,Baoxing County,
China,Sichuan Province,Ya'an City,Baoxing County,"Gari Village, Qiaoqi Township"
China,Sichuan Province,Ya'an City,Minshan County,
China,Sichuan Province,Ya'an City,Hanyuan County,
China,Sichuan Province,Ya'an City,Hanyuan County,Pianma Township
China,Sichuan Province,Ya'an City,Hanyuan County,Fuzhuang Township
China,Sichuan Province,Ya'an City,Shimian County,
China,Sichuan Province,Ya'an City,Yinjing County,"Tazishan Village, Minjian Township, "
China,Sichuan Province,Ya'an City,Yinjing County,"Daping Village, Minjian Township, "
China,Sichuan Province,Mianyang City,Santai County,"Pipa Village, Jingu Township"
China,Sichuan Province,Mianyang City,Youxian District,
China,Sichuan Province,Mianyang City,Jiangyou City,
China,Sichuan Province,Mianyang City,Yanting County,
China,Sichuan Province,Mianyang City,Santai County,
China,Sichuan Province,Mianyang City,Beichuan County,
China,Sichuan Province,Mianyang City,Anzhou District,
China,Sichuan Province,Mianyang City,Fuchen District,
China,Sichuan Province,Luzhou City,Lu County,"Jiangba Village, Baihe Township"
